PeakID (cmd=annotatePeaks.pl filtered_peaks.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-927	chr3	143001430	143001672	+	1	NA	promoter-TSS (ENST00000461591.5)	protein_coding-promoter-TSS (ENST00000461591.5)	-19	ENST00000473835.7	ENSG00000163714	ENST00000465175			U2SURP			protein_coding
chr12-995	chr12	116529081	116529323	+	1	NA	Intergenic	Intergenic	-4220	ENST00000480237.1	ENSG00000196668	ENST00000477702			LINC00173			lncRNA
chr14-1020	chr14	66069856	66070098	+	1	NA	Intergenic	Intergenic	-41580	ENST00000667302.1	ENSG00000258502	ENST00000557723			LINC02290			lncRNA
chr7-418	chr7	157760367	157760609	+	1	NA	intron (ENST00000409483.5, intron 11 of 21)	protein_coding-intron (ENST00000389413.7, intron 11 of 21)	-20032	ENST00000448541.1	ENSG00000231515	ENST00000448541			ENSG00000231515			lncRNA
chr2-232	chr2	119759420	119759662	+	1	NA	promoter-TSS (ENST00000263708.7)	protein_coding-promoter-TSS (ENST00000263708.7)	-381	ENST00000263708.7	ENSG00000088179	ENST00000485247			PTPN4			protein_coding
chr17-441	chr17	49014527	49014769	+	1	NA	promoter-TSS (ENST00000504865.3)	lncRNA-promoter-TSS (ENST00000504865.3)	731	ENST00000499130.6	ENSG00000159217	ENST00000290341			IGF2BP1			protein_coding
chr1-448	chr1	12595880	12596122	+	1	NA	exon (ENST00000430996.2, exon 1 of 4)	protein_coding-exon (ENST00000430996.2, exon 1 of 4)	307	ENST00000430996.2	ENSG00000162496	ENST00000464917			DHRS3			protein_coding
chr21-15	chr21	46116998	46117240	+	1	NA	intron (ENST00000485591.1, intron 6 of 6)	protein_coding-intron (ENST00000300527.9, intron 10 of 27)	-3441	ENST00000413758.1	ENSG00000142173	ENST00000485591			COL6A2			protein_coding
chr1-653	chr1	37479762	37480004	+	1	NA	promoter-TSS (ENST00000472312.1)	protein_coding-promoter-TSS (ENST00000472312.1)	-116	ENST00000472312.1	ENSG00000163874	ENST00000472312			ZC3H12A			protein_coding
chr10-2968	chr10	97337421	97337663	+	1	NA	intron (ENST00000445808.4, intron 1 of 1)	lncRNA-intron (ENST00000445808.4, intron 1 of 1)	-2813	ENST00000371019.4	ENSG00000181274	ENST00000371019			FRAT2			protein_coding
chr7-615	chr7	151921359	151921601	+	1	NA	Intergenic	Intergenic	5149	ENST00000411009.2	ENSG00000222941	ENST00000411009			Y_RNA			misc_RNA
chr5-16	chr5	37379118	37379360	+	1	NA	promoter-TSS (ENST00000265107.9)	protein_coding-promoter-TSS (ENST00000265107.9)	-46	ENST00000504564.1	ENSG00000082068	ENST00000507136			WDR70			protein_coding
chrX-16	chrX	151082440	151082682	+	1	NA	Intergenic	Intergenic	-56155	ENST00000391293.1	ENSG00000212595	ENST00000391293			RNA5SP525			rRNA
chr1-1887	chr1	21956939	21957181	+	1	NA	promoter-TSS (ENST00000637118.1)	lncRNA-promoter-TSS (ENST00000637118.1)	-189	ENST00000637118.1	ENSG00000293453	ENST00000637118			ENSG00000293453			lncRNA
chr9-76	chr9	136996523	136996765	+	1	NA	promoter-TSS (ENST00000473911.1)	protein_coding-promoter-TSS (ENST00000473911.1)	-76	ENST00000494426.2	ENSG00000169583	ENST00000480181			CLIC3			protein_coding
chr4-241	chr4	139453784	139454026	+	1	NA	promoter-TSS (ENST00000305626.6)	protein_coding-promoter-TSS (ENST00000305626.6)	50	ENST00000608661.1	ENSG00000273247	ENST00000609359			RAB33B-AS1			lncRNA
chrX-33	chrX	154013216	154013458	+	1	NA	exon (ENST00000369973.7, exon 10 of 12)	protein_coding-exon (ENST00000369973.7, exon 10 of 12)	909	ENST00000444254.1	ENSG00000184216	ENST00000444254			IRAK1			protein_coding
chr3-828	chr3	50292384	50292626	+	1	NA	promoter-TSS (ENST00000414734.5)	protein_coding-promoter-TSS (ENST00000414734.5)	-69	ENST00000462001.1	ENSG00000214706	ENST00000462001			IFRD2			protein_coding
chr7-2121	chr7	149835	150077	+	1	NA	promoter-TSS (ENST00000462565.2)	lncRNA-promoter-TSS (ENST00000462565.2)	178	ENST00000471299.1	ENSG00000240859	ENST00000664368			LINC03014			lncRNA
chr3-7	chr3	157174896	157175138	+	1	NA	promoter-TSS (ENST00000410743.1)	rRNA_pseudogene-promoter-TSS (ENST00000410743.1)	-182	ENST00000668714.2	ENSG00000243176	ENST00000691958			ENSG00000243176			lncRNA
chr5-33	chr5	88660602	88660844	+	1	NA	promoter-TSS (ENST00000508885.6)	lncRNA-promoter-TSS (ENST00000508885.6)	-859	ENST00000663994.1	ENSG00000245526	ENST00000515885			LINC00461			lncRNA
chr1-645	chr1	22025146	22025388	+	1	NA	promoter-TSS (ENST00000404210.5)	lncRNA-promoter-TSS (ENST00000404210.5)	79	ENST00000434233.2	ENSG00000218510	ENST00000634712			LINC00339			lncRNA
chr2-2411	chr2	241508845	241509087	+	1	NA	promoter-TSS (ENST00000316586.9)	protein_coding-promoter-TSS (ENST00000316586.9)	62	ENST00000693270.1	ENSG00000289555	ENST00000693270			ENSG00000289555			lncRNA
chr4-398	chr4	184734064	184734306	+	1	NA	promoter-TSS (ENST00000281453.10)	protein_coding-promoter-TSS (ENST00000281453.10)	-55	ENST00000510146.5	ENSG00000151725	ENST00000281453			CENPU			protein_coding
chr17-1493	chr17	4365266	4365508	+	1	NA	promoter-TSS (ENST00000577467.2)	misc_RNA-promoter-TSS (ENST00000577467.2)	-934	ENST00000577467.2	ENSG00000263882	ENST00000577467			RN7SL774P			misc_RNA
chr9-27	chr9	133874067	133874309	+	1	NA	intron (ENST00000486113.1, intron 2 of 2)	protein_coding-intron (ENST00000371850.8, intron 2 of 29)	65113	ENST00000472905.1	ENSG00000160293	ENST00000472905			VAV2			protein_coding
chr17-3209	chr17	48160600	48160842	+	1	NA	intron (ENST00000584924.5, intron 11 of 11)	protein_coding-intron (ENST00000336915.11, intron 11 of 12)	1949	ENST00000579476.5	ENSG00000141293	ENST00000579476			SKAP1			protein_coding
chr1-1124	chr1	244971064	244971306	+	1	NA	promoter-TSS (ENST00000607453.1)	lncRNA-promoter-TSS (ENST00000607453.1)	-97	ENST00000607453.1	ENSG00000272195	ENST00000607453			ENSG00000272195			lncRNA
chr17-6575	chr17	68436006	68436248	+	1	NA	intron (ENST00000591494.5, intron 3 of 7)	protein_coding-intron (ENST00000262139.10, intron 5 of 12)	-2556	ENST00000591744.1	ENSG00000070540	ENST00000591744			WIPI1			protein_coding
chr14-225	chr14	61281230	61281472	+	1	NA	promoter-TSS (ENST00000555868.2)	protein_coding-promoter-TSS (ENST00000555868.2)	-13	ENST00000555868.2	ENSG00000182107	ENST00000555868			TMEM30B			protein_coding
chr14-41	chr14	92748265	92748507	+	1	NA	intron (ENST00000553918.1, intron 1 of 2)	protein_coding-intron (ENST00000334869.9, intron 1 of 13)	184	ENST00000553918.1	ENSG00000100600	ENST00000557609			LGMN			protein_coding
chr16-2119	chr16	12024450	12024692	+	1	NA	intron (ENST00000569801.5, intron 3 of 5)	protein_coding-intron (ENST00000564111.5, intron 3 of 7)	-14139	ENST00000568359.1	ENSG00000048471	ENST00000563308			SNX29			protein_coding
chr7-1047	chr7	19709026	19709268	+	1	NA	promoter-TSS (ENST00000222567.6)	protein_coding-promoter-TSS (ENST00000222567.6)	-110	ENST00000222567.6	ENSG00000105849	ENST00000462263			POLR1F			protein_coding
chr5-49	chr5	150449949	150450191	+	1	NA	promoter-TSS (ENST00000312037.6)	protein_coding-promoter-TSS (ENST00000312037.6)	-331	ENST00000407193.7	ENSG00000164587	ENST00000519855			RPS14			protein_coding
chr7-450	chr7	76318399	76318641	+	1	NA	exon (ENST00000685158.1, exon 1 of 1)	lncRNA-exon (ENST00000685158.1, exon 1 of 1)	267	ENST00000685158.1	ENSG00000289059	ENST00000685158			FPASL			lncRNA
chr2-3981	chr2	186895654	186895896	+	1	NA	Intergenic	Intergenic	-46567	ENST00000419862.1	ENSG00000163012	ENST00000419862			ZSWIM2			protein_coding
chrX-455	chrX	150693876	150694118	+	1	NA	intron (ENST00000542156.5, intron 1 of 9)	protein_coding-intron (ENST00000370390.7, intron 1 of 15)	466	ENST00000490316.7	ENSG00000063601	ENST00000542156			MTMR1			protein_coding
chr8-254	chr8	63038657	63038899	+	1	NA	promoter-TSS (ENST00000260118.7)	protein_coding-promoter-TSS (ENST00000260118.7)	17	ENST00000523788.2	ENSG00000137563	ENST00000523788			GGH			protein_coding
chr17-918	chr17	79831731	79831973	+	1	NA	Intergenic	Intergenic	6029	ENST00000495122.1	ENSG00000141582	ENST00000448310			CBX4			protein_coding
chr22-1466	chr22	30210342	30210584	+	1	NA	Intergenic	Intergenic	-3268	ENST00000432360.2	ENSG00000225676	ENST00000432360			ENSG00000225676			lncRNA
chr10-233	chr10	124619311	124619553	+	1	NA	exon (ENST00000337318.8, exon 5 of 5)	protein_coding-exon (ENST00000337318.8, exon 5 of 5)	-3921	ENST00000621254.1	ENSG00000278831	ENST00000621254			ENSG00000278831			lncRNA
chr3-1176	chr3	156812541	156812783	+	1	NA	intron (ENST00000473352.1, intron 1 of 1)	lncRNA-intron (ENST00000472943.5, intron 1 of 2)	-1930	ENST00000473864.1	ENSG00000230457	ENST00000473864			PA2G4P4			processed_pseudogene
KI270719.1-1	KI270719.1	174419	174661	+	1	NA	NA	NA	NA	NA								
chr14-423	chr14	55027331	55027573	+	1	NA	promoter-TSS (ENST00000339298.2)	protein_coding-promoter-TSS (ENST00000339298.2)	171	ENST00000553735.1	ENSG00000180008	ENST00000555846			SOCS4			protein_coding
chr3-313	chr3	49007014	49007256	+	1	NA	promoter-TSS (ENST00000395474.7)	protein_coding-promoter-TSS (ENST00000395474.7)	-69	ENST00000610967.4	ENSG00000178252	ENST00000488572			WDR6			protein_coding
chr8-495	chr8	100951983	100952225	+	1	NA	promoter-TSS (ENST00000395953.6)	protein_coding-promoter-TSS (ENST00000395953.6)	-84	ENST00000395958.6	ENSG00000164924	ENST00000418997			YWHAZ			protein_coding
chr19-577	chr19	48543546	48543788	+	1	NA	Intergenic	Intergenic	-8505	ENST00000201586.7	ENSG00000088002	ENST00000323090			SULT2B1			protein_coding
chr2-2948	chr2	172442153	172442395	+	1	NA	intron (ENST00000684293.1, intron 1 of 25)	protein_coding-intron (ENST00000264107.12, intron 1 of 25)	-13671	ENST00000441212.1	ENSG00000226963	ENST00000441212			ENSG00000226963			lncRNA
chr15-1056	chr15	84654233	84654475	+	1	NA	promoter-TSS (ENST00000398528.7)	protein_coding-promoter-TSS (ENST00000398528.7)	-11	ENST00000398528.7	ENSG00000177082	ENST00000561329			WDR73			protein_coding
chr3-70	chr3	41199447	41199689	+	1	NA	promoter-TSS (ENST00000349496.11)	protein_coding-promoter-TSS (ENST00000349496.11)	30	ENST00000644873.1	ENSG00000168036	ENST00000646074			CTNNB1			protein_coding
chr3-2088	chr3	14268079	14268321	+	1	NA	Intergenic	Intergenic	35645	ENST00000525575.1	ENSG00000255021	ENST00000525575			ENSG00000255021			lncRNA
chr2-5647	chr2	260872	261114	+	1	NA	promoter-TSS (ENST00000479739.6)	protein_coding-promoter-TSS (ENST00000479739.6)	-285	ENST00000479739.6	ENSG00000035115	ENST00000602998			SH3YL1			protein_coding
chr7-3011	chr7	45132919	45133161	+	1	NA	Intergenic	Intergenic	-20993	ENST00000395655.8	ENSG00000136270	ENST00000484326			TBRG4			protein_coding
chr7-6540	chr7	158633459	158633701	+	1	NA	intron (ENST00000467785.5, intron 24 of 24)	protein_coding-intron (ENST00000356309.8, intron 27 of 27)	-10131	ENST00000439089.1	ENSG00000224324	ENST00000439089			THAP5P1			processed_pseudogene
chr8-606	chr8	95071516	95071758	+	1	NA	TTS (ENST00000518598.1)	lncRNA-TTS (ENST00000518598.1)	-1277	ENST00000636546.1	ENSG00000283522	ENST00000636546			MIR3150A			miRNA
chr7-511	chr7	521771	522013	+	1	NA	promoter-TSS (ENST00000656962.1)	lncRNA-promoter-TSS (ENST00000656962.1)	-587	ENST00000690212.2	ENSG00000223855	ENST00000663680			PDGFA-DT			lncRNA
chr9-474	chr9	133992916	133993158	+	1	NA	promoter-TSS (ENST00000371850.8)	protein_coding-promoter-TSS (ENST00000371850.8)	-433	ENST00000371851.1	ENSG00000160293	ENST00000472905			VAV2			protein_coding
chrX-254	chrX	154121908	154122150	+	1	NA	intron (ENST00000631210.1, intron 1 of 2)	protein_coding-intron (ENST00000631210.1, intron 1 of 2)	15074	ENST00000631210.1	ENSG00000169057	ENST00000637533			MECP2			protein_coding
chr20-178	chr20	54085172	54085414	+	1	NA	Intergenic	Intergenic	-14699	ENST00000395961.7	ENSG00000064787	ENST00000422805			BCAS1			protein_coding
chr16-21	chr16	85459028	85459270	+	1	NA	intron (ENST00000637419.1, intron 2 of 2)	protein_coding-intron (ENST00000637419.1, intron 2 of 2)	-30664	ENST00000620845.1	ENSG00000278716	ENST00000620845			ENSG00000278716			lncRNA
chr7-2580	chr7	128431257	128431499	+	1	NA	Intergenic	Intergenic	2335	ENST00000449336.1	ENSG00000228700	ENST00000449336			ENSG00000228700			processed_pseudogene
chr15-996	chr15	72796701	72796943	+	1	NA	intron (ENST00000563592.5, intron 2 of 2)	lncRNA-intron (ENST00000563592.5, intron 2 of 2)	10119	ENST00000670622.1	ENSG00000260898	ENST00000670622			ADPGK-AS1			lncRNA
chr12-783	chr12	116434200	116434442	+	1	NA	Intergenic	Intergenic	-6003	ENST00000582069.1	ENSG00000264037	ENST00000582069			MIR4472-2			miRNA
chr9-2379	chr9	15307360	15307602	+	1	NA	promoter-TSS (ENST00000297615.10)	protein_coding-promoter-TSS (ENST00000297615.10)	-121	ENST00000505732.5	ENSG00000155158	ENST00000507993			TTC39B			protein_coding
chr7-74	chr7	29564764	29565006	+	1	NA	promoter-TSS (ENST00000450427.1)	protein_coding-promoter-TSS (ENST00000450427.1)	-565	ENST00000450427.1	ENSG00000176532	ENST00000450427			PRR15			protein_coding
chr4-4	chr4	142474427	142474669	+	1	NA	promoter-TSS (ENST00000507861.5)	protein_coding-promoter-TSS (ENST00000507861.5)	-106	ENST00000692370.1	ENSG00000109452	ENST00000690114			INPP4B			protein_coding
chr17-4561	chr17	7205102	7205344	+	1	NA	promoter-TSS (ENST00000451807.7)	protein_coding-promoter-TSS (ENST00000451807.7)	-55	ENST00000649186.1	ENSG00000132535	ENST00000399510			DLG4			protein_coding
chr10-2224	chr10	97633414	97633656	+	1	NA	promoter-TSS (ENST00000307450.11)	protein_coding-promoter-TSS (ENST00000307450.11)	-35	ENST00000307450.11	ENSG00000171160	ENST00000478953			MORN4			protein_coding
chr15-803	chr15	74885817	74886059	+	1	NA	Intergenic	Intergenic	-4067	ENST00000569931.5	ENSG00000178802	ENST00000568828			MPI			protein_coding
chr13-134	chr13	49247805	49248047	+	1	NA	promoter-TSS (ENST00000251108.10)	protein_coding-promoter-TSS (ENST00000251108.10)	1	ENST00000251108.10	ENSG00000102543	ENST00000496061			CDADC1			protein_coding
chr1-71	chr1	161083585	161083827	+	1	NA	promoter-TSS (ENST00000447167.1)	lncRNA-promoter-TSS (ENST00000447167.1)	-759	ENST00000447167.1	ENSG00000228917	ENST00000447167			NECTIN4-AS1			lncRNA
chr16-165	chr16	29807901	29808143	+	1	NA	promoter-TSS (ENST00000562557.5)	protein_coding-promoter-TSS (ENST00000562557.5)	-29	ENST00000568544.5	ENSG00000103495	ENST00000563402			MAZ			protein_coding
chrX-436	chrX	131493082	131493324	+	1	NA	promoter-TSS (ENST00000422384.2)	processed_pseudogene-promoter-TSS (ENST00000422384.2)	-317	ENST00000422384.2	ENSG00000228450	ENST00000422384			NLRP7P1			processed_pseudogene
chr1-4288	chr1	55245968	55246210	+	1	NA	intron (ENST00000643232.1, intron 1 of 1)	lncRNA-intron (ENST00000643232.1, intron 1 of 1)	20448	ENST00000581938.1	ENSG00000265822	ENST00000581938			MIR4422			miRNA
chr8-658	chr8	142329760	142330002	+	1	NA	intron (ENST00000662555.1, intron 5 of 11)	protein_coding-intron (ENST00000307180.4, intron 6 of 13)	-3656	ENST00000518928.1	ENSG00000171045	ENST00000521825			TSNARE1			protein_coding
chr2-3033	chr2	203579084	203579326	+	1	NA	Intergenic	Intergenic	-43870	ENST00000420371.2	ENSG00000173166	ENST00000453034			RAPH1			protein_coding
chr15-92	chr15	42548872	42549114	+	1	NA	promoter-TSS (ENST00000323443.6)	protein_coding-promoter-TSS (ENST00000323443.6)	126	ENST00000570178.1	ENSG00000137814	ENST00000563479			HAUS2			protein_coding
chr2-2815	chr2	112764701	112764943	+	1	NA	promoter-TSS (ENST00000302450.11)	protein_coding-promoter-TSS (ENST00000302450.11)	-158	ENST00000461876.5	ENSG00000169607	ENST00000474331			CKAP2L			protein_coding
chr14-499	chr14	50668296	50668538	+	1	NA	promoter-TSS (ENST00000324679.5)	protein_coding-promoter-TSS (ENST00000324679.5)	12	ENST00000701211.1	ENSG00000289866	ENST00000701211			ENSG00000289866			lncRNA
chr20-764	chr20	63864224	63864466	+	1	NA	promoter-TSS (ENST00000217121.9)	protein_coding-promoter-TSS (ENST00000217121.9)	-52	ENST00000601296.2	ENSG00000268858	ENST00000601296			ENSG00000268858			lncRNA
chr5-2478	chr5	143245980	143246222	+	1	NA	Intergenic	Intergenic	38901	ENST00000425417.2	ENSG00000145819	ENST00000470032			ARHGAP26			protein_coding
chr8-159	chr8	123516784	123517026	+	1	NA	intron (ENST00000521719.5, intron 4 of 5)	protein_coding-intron (ENST00000287396.2, intron 1 of 5)	-10280	ENST00000524000.5	ENSG00000156804	ENST00000517956			FBXO32			protein_coding
chr3-162	chr3	131502783	131503025	+	1	NA	promoter-TSS (ENST00000264995.8)	protein_coding-promoter-TSS (ENST00000264995.8)	-3	ENST00000666946.1	ENSG00000248468	ENST00000503006			ENSG00000248468			lncRNA
chr6-302	chr6	27251867	27252109	+	1	NA	promoter-TSS (ENST00000485603.1)	protein_coding-promoter-TSS (ENST00000485603.1)	326	ENST00000471463.5	ENSG00000112812	ENST00000466364			PRSS16			protein_coding
chr14-131	chr14	73602258	73602500	+	1	NA	intron (ENST00000664243.1, intron 1 of 1)	lncRNA-intron (ENST00000664243.1, intron 1 of 1)	-8566	ENST00000554229.1	ENSG00000205669	ENST00000645972			ACOT6			protein_coding
chr7-490	chr7	141551335	141551577	+	1	NA	promoter-TSS (ENST00000473247.5)	protein_coding-promoter-TSS (ENST00000473247.5)	22	ENST00000648068.1	ENSG00000006530	ENST00000649014			AGK			protein_coding
chr5-495	chr5	126776542	126776784	+	1	NA	promoter-TSS (ENST00000261366.10)	protein_coding-promoter-TSS (ENST00000261366.10)	40	ENST00000460265.5	ENSG00000113368	ENST00000494185			LMNB1			protein_coding
chr11-20	chr11	72223175	72223417	+	1	NA	promoter-TSS (ENST00000540973.1)	protein_coding-promoter-TSS (ENST00000540973.1)	-405	ENST00000540973.1	ENSG00000165458	ENST00000538751			INPPL1			protein_coding
chr3-2460	chr3	149480475	149480717	+	1	NA	intron (ENST00000463068.1, intron 1 of 2)	protein_coding-intron (ENST00000305354.5, intron 2 of 4)	4812	ENST00000463068.1	ENSG00000169903	ENST00000465758			TM4SF4			protein_coding
chr15-1486	chr15	43211867	43212109	+	1	NA	intron (ENST00000540029.5, intron 2 of 11)	protein_coding-intron (ENST00000441366.7, intron 3 of 12)	-2377	ENST00000567019.2	ENSG00000166947	ENST00000565459			EPB42			protein_coding
chr3-429	chr3	170049558	170049800	+	1	NA	promoter-TSS (ENST00000485735.6)	protein_coding-promoter-TSS (ENST00000485735.6)	-176	ENST00000485735.6	ENSG00000173890	ENST00000491740			GPR160			protein_coding
chr14-117	chr14	75002790	75003032	+	1	NA	promoter-TSS (ENST00000266126.10)	protein_coding-promoter-TSS (ENST00000266126.10)	-10	ENST00000266126.10	ENSG00000119718	ENST00000556668			EIF2B2			protein_coding
chr1-104	chr1	43991655	43991897	+	1	NA	promoter-TSS (ENST00000466180.1)	protein_coding-promoter-TSS (ENST00000466180.1)	2	ENST00000490064.5	ENSG00000159214	ENST00000463846			CCDC24			protein_coding
chr19-148	chr19	1181688	1181930	+	1	NA	intron (ENST00000585748.3, intron 2 of 11)	protein_coding-intron (ENST00000585748.3, intron 2 of 11)	4251	ENST00000585748.3	ENSG00000118046	ENST00000589152			STK11			protein_coding
chr8-3059	chr8	1745601	1745843	+	1	NA	Intergenic	Intergenic	-10056	ENST00000524258.2	ENSG00000182372	ENST00000636934			CLN8			protein_coding
chr6-1461	chr6	169852045	169852287	+	1	NA	Intergenic	Intergenic	-42064	ENST00000427017.1	ENSG00000236173	ENST00000427017			ENSG00000236173			lncRNA
chr20-1075	chr20	48485133	48485375	+	1	NA	Intergenic	Intergenic	8255	ENST00000626377.1	ENSG00000281460	ENST00000626377			ENSG00000281460			lncRNA
chr14-4553	chr14	105010916	105011158	+	1	NA	TTS (ENST00000548178.1)	protein_coding-TTS (ENST00000548178.1)	10023	ENST00000392590.3	ENSG00000170779	ENST00000336219			CDCA4			protein_coding
chr1-789	chr1	23619661	23619903	+	1	NA	intron (ENST00000477916.5, intron 2 of 6)	lncRNA-intron (ENST00000477916.5, intron 2 of 6)	-7552	ENST00000374555.7	ENSG00000197880	ENST00000374555			MDS2			lncRNA
chr2-4814	chr2	88016782	88017024	+	1	NA	promoter-TSS (ENST00000410792.1)	snRNA-promoter-TSS (ENST00000410792.1)	87	ENST00000665969.1	ENSG00000287670	ENST00000662952			ENSG00000287670			lncRNA
chr10-72	chr10	100347087	100347329	+	1	NA	promoter-TSS (ENST00000370355.3)	protein_coding-promoter-TSS (ENST00000370355.3)	-25	ENST00000370355.3	ENSG00000099194	ENST00000370355			SCD			protein_coding
chr12-41	chr12	55728311	55728553	+	1	NA	promoter-TSS (ENST00000546939.5)	protein_coding-promoter-TSS (ENST00000546939.5)	50	ENST00000552692.5	ENSG00000135404	ENST00000552067			CD63			protein_coding
chr22-16	chr22	36388052	36388294	+	1	NA	promoter-TSS (ENST00000216181.11)	protein_coding-promoter-TSS (ENST00000216181.11)	-163	ENST00000685191.1	ENSG00000100345	ENST00000685191			MYH9			protein_coding
chr1-1131	chr1	2801634	2801876	+	1	NA	promoter-TSS (ENST00000401095.9)	protein_coding-promoter-TSS (ENST00000401095.9)	-62	ENST00000401095.9	ENSG00000215912	ENST00000637179			TTC34			protein_coding
chr7-819	chr7	12686507	12686749	+	1	NA	promoter-TSS (ENST00000356797.7)	protein_coding-promoter-TSS (ENST00000356797.7)	-228	ENST00000396662.5	ENSG00000122644	ENST00000439721			ARL4A			protein_coding
chr19-2670	chr19	6273832	6274074	+	1	NA	intron (ENST00000252674.9, intron 1 of 11)	protein_coding-intron (ENST00000252674.9, intron 1 of 11)	6022	ENST00000252674.9	ENSG00000130382	ENST00000587473			MLLT1			protein_coding
